Sample,Genotype,Gene,Cq,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
6_4,WT,Peli2,20.54,,,,,,,,,,,,,
6_6,WT,Peli2,21.14,20.965,6.61,,,,,,,1.555,,,,
6_6,WT,Peli2,20.79,,,,,,,,,,,,,
7_1,WT,Peli2,21.01,20.855,6.43,,,,,,,1.395,,,,
7_1,WT,Peli2,20.7,,,,,,,,,,,,,
7_5,WT,Peli2,21.04,20.86,6.05,,,,,,,1.06,,,,
7_5,WT,Peli2,20.68,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,Pgm2,18.9,18.86,6.495,6.03625,0.585,0.666649339,-1.500038989,,,0.5,0.6025,0.2075,0.866036659,-1.154685532
5_1,KO,Pgm2,18.82,,,,,,,,,,,,,
6_8,KO,Pgm2,19.34,19.285,5.42,,,,,,,0.275,,,,
6_8,KO,Pgm2,19.23,,,,,,,,,,,,,
7_2,KO,Pgm2,21.41,21.35,6.495,,,,,,,1.22,,,,
7_2,KO,Pgm2,21.29,,,,,,,,,,,,,
7_6,KO,Pgm2,19.43,19.645,5.735,,,,,,,0.415,,,,
7_6,KO,Pgm2,19.86,,,,,,,,,,,,,
6_4,WT,Pgm2,19.62,19.585,5.335,5.45125,,,,,,0.19,0.395,,,
6_4,WT,Pgm2,19.55,,,,,,,,,,,,,
6_6,WT,Pgm2,20.02,19.84,5.485,,,,,,,0.43,,,,
6_6,WT,Pgm2,19.66,,,,,,,,,,,,,
7_1,WT,Pgm2,20.08,19.97,5.545,,,,,,,0.51,,,,
7_1,WT,Pgm2,19.86,,,,,,,,,,,,,
7_5,WT,Pgm2,20.44,20.25,5.44,,,,,,,0.45,,,,
7_5,WT,Pgm2,20.06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,Pgm2I1,19.32,19.36,6.995,6.47375,0.4225,0.746130558,-1.340248017,,,1,1.04,0.045,0.969289817,-1.031683179
5_1,KO,Pgm2I1,19.4,,,,,,,,,,,,,
6_8,KO,Pgm2I1,20.18,20.125,6.26,,,,,,,1.115,,,,
6_8,KO,Pgm2I1,20.07,,,,,,,,,,,,,
7_2,KO,Pgm2I1,21.32,21.2,6.345,,,,,,,1.07,,,,
7_2,KO,Pgm2I1,21.08,,,,,,,,,,,,,
7_6,KO,Pgm2I1,20.2,20.205,6.295,,,,,,,0.975,,,,
7_6,KO,Pgm2I1,20.21,,,,,,,,,,,,,
6_4,WT,Pgm2I1,20.22,20.19,5.94,6.05125,,,,,,0.795,0.995,,,
6_4,WT,Pgm2I1,20.16,,,,,,,,,,,,,
6_6,WT,Pgm2I1,21.29,20.79,6.435,,,,,,,1.38,,,,
6_6,WT,Pgm2I1,20.29,,,,,,,,,,,,,
7_1,WT,Pgm2I1,20.27,20.48,6.055,,,,,,,1.02,,,,
7_1,WT,Pgm2I1,20.69,,,,,,,,,,,,,
7_5,WT,Pgm2I1,20.86,20.585,5.775,,,,,,,0.785,,,,
7_5,WT,Pgm2I1,20.31,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,Pla2r1,20.29,20.27,7.905,7.41625,0.49625,0.708947156,-1.410542368,,,1.91,1.9825,0.11875,0.920985278,-1.085793686
5_1,KO,Pla2r1,20.25,,,,,,,,,,,,,
6_8,KO,Pla2r1,21.27,21.16,7.295,,,,,,,2.15,,,,
6_8,KO,Pla2r1,21.05,,,,,,,,,,,,,
7_2,KO,Pla2r1,22.19,22.105,7.25,,,,,,,1.975,,,,
7_2,KO,Pla2r1,22.02,,,,,,,,,,,,,
7_6,KO,Pla2r1,21.13,21.125,7.215,,,,,,,1.895,,,,
7_6,KO,Pla2r1,21.12,,,,,,,,,,,,,
6_4,WT,Pla2r1,21.13,21.11,6.86,6.92,,,,,,1.715,1.86375,,,
6_4,WT,Pla2r1,21.09,,,,,,,,,,,,,
6_6,WT,Pla2r1,21.31,21.195,6.84,,,,,,,1.785,,,,
6_6,WT,Pla2r1,21.08,,,,,,,,,,,,,
7_1,WT,Pla2r1,21.47,21.24,6.815,,,,,,,1.78,,,,
7_1,WT,Pla2r1,21.01,,,,,,,,,,,,,
7_5,WT,Pla2r1,22.08,21.975,7.165,,,,,,,2.175,,,,
7_5,WT,Pla2r1,21.87,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,Plcd1,21.02,20.82,8.455,7.925,0.38875,0.763791092,-1.309258526,,,2.46,2.49125,0.01125,0.992232419,-1.007828389
5_1,KO,Plcd1,20.62,,,,,,,,,,,,,
6_8,KO,Plcd1,21.52,21.3,7.435,,,,,,,2.29,,,,
6_8,KO,Plcd1,21.08,,,,,,,,,,,,,
7_2,KO,Plcd1,23.47,22.905,8.05,,,,,,,2.775,,,,
7_2,KO,Plcd1,22.34,,,,,,,,,,,,,
7_6,KO,Plcd1,21.77,21.67,7.76,,,,,,,2.44,,,,
7_6,KO,Plcd1,21.57,,,,,,,,,,,,,
6_4,WT,Plcd1,21.85,21.55,7.3,7.53625,,,,,,2.155,2.48,,,
6_4,WT,Plcd1,21.25,,,,,,,,,,,,,
6_6,WT,Plcd1,22.2,21.835,7.48,,,,,,,2.425,,,,
6_6,WT,Plcd1,21.47,,,,,,,,,,,,,
7_1,WT,Plcd1,22.41,22.115,7.69,,,,,,,2.655,,,,
7_1,WT,Plcd1,21.82,,,,,,,,,,,,,
7_5,WT,Plcd1,22.82,22.485,7.675,,,,,,,2.685,,,,
7_5,WT,Plcd1,22.15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,Plcxd2,18.63,18.545,6.18,5.7225,0.23,0.852634892,-1.172834949,,,0.185,0.28875,-0.1475,1.1076484,-0.902813565
5_1,KO,Plcxd2,18.46,,,,,,,,,,,,,
6_8,KO,Plcxd2,19.5,19.405,5.54,,,,,,,0.395,,,,
6_8,KO,Plcxd2,19.31,,,,,,,,,,,,,
7_2,KO,Plcxd2,20.54,20.525,5.67,,,,,,,0.395,,,,
7_2,KO,Plcxd2,20.51,,,,,,,,,,,,,
