Sample,Genotype,Gene,Cq,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
2_3,WT,Ppp1r9a,21.53,21.6,7.89,,0.397492138,,,,,2.595,,,,
2_3,WT,Ppp1r9a,21.67,,,,20.90001572,,,,,,,,,
3_5,WT,Ppp1r9a,22.31,22.28,7.065,,22.48998428,,,,,2.27,,,,
3_5,WT,Ppp1r9a,22.25,,,,,,,,,,,,,
9_1,WT,Ppp1r9a,21.63,21.64,7.89,,,,,,,2.69,,,,
9_1,WT,Ppp1r9a,21.65,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_13,KO,Prkca,19.48,19.575,5.35,5.2325,0.02125,0.985378569,-1.014838389,,,0.44,0.29,0.21625,0.86080001,-1.161710023
1_13,KO,Prkca,19.67,,,,,,,,,,,,,
4_1,KO,Prkca,19.34,19.52,4.845,,0.317129987,,,,,0.125,,,,
4_1,KO,Prkca,19.7,,,,18.74074003,,,,,,,,,
4_4,KO,Prkca,19.6,19.5,5.305,,20.00925997,,,,,0.42,,,,
4_4,KO,Prkca,19.4,,,,,,,,,,,,,
9_3,KO,Prkca,18.85,18.905,5.43,,,,,,,0.175,,,,
9_3,KO,Prkca,18.96,,,,,,,,,,,,,
2_1,WT,Prkca,18.43,18.515,5.23,5.21125,,,,,,-0.03,0.07375,,,
2_1,WT,Prkca,18.6,,,,,,,,,,,,,
2_3,WT,Prkca,19.16,19.625,5.915,,0.545905212,,,,,0.62,,,,
2_3,WT,Prkca,20.09,,,,18.10943958,,,,,,,,,
3_5,WT,Prkca,19.59,19.59,4.375,,20.29306042,,,,,-0.42,,,,
3_5,WT,Prkca,19.59,,,,,,,,,,,,,
9_1,WT,Prkca,19.12,19.075,5.325,,,,,,,0.125,,,,
9_1,WT,Prkca,19.03,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_13,KO,psd3(psmd3),19.75,19.935,5.71,5.55,0.0275,0.981118975,-1.019244379,,,0.8,0.6075,0.2225,0.857078944,-1.166753666
1_13,KO,psd3 (psmd3),20.12,,,,,,,,,,,,,
