Sample,Genotype,Gene,Ct,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
7_5,KO,Opn4,37.06,37.105,28.79,,,,,,,19.18,,,,
7_5,KO,Opn4,37.15,,,,,,,,,,,,,
7_7,KO,Opn4,N/A,N/A,#VALUE!,,,,,,,#VALUE!,,,,
7_7,KO,Opn4,35.36,,,,,,,,,,,,,
5_1,WT,Opn4,24.32,24.31,11.33,13.3025,,,,,,6.57,6.10375,,,
5_1,WT,Opn4,24.3,,,,,,,,,,,,,
6_4,WT,Opn4,23.25,23.42,15.535,,,,,,,5.745,,,,
6_4,WT,Opn4,23.59,,,,,,,,,,,,,
7_1,WT,Opn4,23.33,23.45,15.34,,,,,,,5.86,,,,
7_1,WT,Opn4,23.57,,,,,,,,,,,,,
7_2,WT,Opn4,23.22,23.7,11.005,,,,,,,6.24,,,,
7_2,WT,Opn4,24.18,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_3,KO,Optc,25.9,25.755,16.455,16.22375,0.64,0.641712949,-1.558329159,,,8.23,8.42875,0.04375,0.970130006,-1.030789681
5_3,KO,Optc,25.61,,,,,,,,,,,,,
6_3,KO,Optc,25.89,25.98,17.22,,,,,,,8.505,,,,
6_3,KO,Optc,26.07,,,,,,,,,,,,,
7_5,KO,Optc,26.3,26.385,18.07,,,,,,,8.46,,,,
7_5,KO,Optc,26.47,,,,,,,,,,,,,
7_7,KO,Optc,26.16,26.21,13.15,,,,,,,8.52,,,,
7_7,KO,Optc,26.26,,,,,,,,,,,,,
5_1,WT,Optc,26.09,26.27,13.29,15.58375,,,,,,8.53,8.385,,,
5_1,WT,Optc,26.45,,,,,,,,,,,,,
6_4,WT,Optc,25.55,25.76,17.875,,,,,,,8.085,,,,
6_4,WT,Optc,25.97,,,,,,,,,,,,,
7_1,WT,Optc,26.34,26.365,18.255,,,,,,,8.775,,,,
7_1,WT,Optc,26.39,,,,,,,,,,,,,
7_2,WT,Optc,25.4,25.61,12.915,,,,,,,8.15,,,,
7_2,WT,Optc,25.82,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_3,KO,Psd2,26.07,26.145,16.845,16.43625,0.57,0.673616788,-1.484523571,,,8.62,8.64125,-0.02625,1.018361653,-0.981969418
5_3,KO,Psd2,26.22,,,,,,,,,,,,,
6_3,KO,Psd2,25.98,25.9,17.14,,,,,,,8.425,,,,
6_3,KO,Psd2,25.82,,,,,,,,,,,,,
7_5,KO,Psd2,26.6,26.555,18.24,,,,,,,8.63,,,,
7_5,KO,Psd2,26.51,,,,,,,,,,,,,
7_7,KO,Psd2,26.59,26.58,13.52,,,,,,,8.89,,,,
7_7,KO,Psd2,26.57,,,,,,,,,,,,,
5_1,WT,Psd2,26.55,26.84,13.86,15.86625,,,,,,9.1,8.6675,,,
5_1,WT,Psd2,27.13,,,,,,,,,,,,,
6_4,WT,Psd2,25.15,25.315,17.43,,,,,,,7.64,,,,
6_4,WT,Psd2,25.48,,,,,,,,,,,,,
7_1,WT,Psd2,26.48,26.505,18.395,,,,,,,8.915,,,,
7_1,WT,Psd2,26.53,,,,,,,,,,,,,
7_2,WT,Psd2,26.15,26.475,13.78,,,,,,,9.015,,,,
7_2,WT,Psd2,26.8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_3,KO,Rgs7bp,20.28,20.065,10.765,10.045,0.4275,0.743549142,-1.344901021,,,2.54,2.25,-0.16875,1.124084118,-0.889613138
5_3,KO,Rgs7bp,19.85,,,,,,,,,,,,,
6_3,KO,Rgs7bp,19.68,19.785,11.025,,,,,,,2.31,,,,
6_3,KO,Rgs7bp,19.89,,,,,,,,,,,,,
7_5,KO,Rgs7bp,20.01,20,11.685,,,,,,,2.075,,,,
7_5,KO,Rgs7bp,19.99,,,,,,,,,,,,,
7_7,KO,Rgs7bp,19.73,19.765,6.705,,,,,,,2.075,,,,
7_7,KO,Rgs7bp,19.8,,,,,,,,,,,,,
5_1,WT,Rgs7bp,19.98,20.005,7.025,9.6175,,,,,,2.265,2.41875,,,
5_1,WT,Rgs7bp,20.03,,,,,,,,,,,,,
6_4,WT,Rgs7bp,19.61,19.71,11.825,,,,,,,2.035,,,,
6_4,WT,Rgs7bp,19.81,,,,,,,,,,,,,
7_1,WT,Rgs7bp,19.88,20.505,12.395,,,,,,,2.915,,,,
7_1,WT,Rgs7bp,21.13,,,,,,,,,,,,,
7_2,WT,Rgs7bp,19.62,19.92,7.225,,,,,,,2.46,,,,
7_2,WT,Rgs7bp,20.22,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_3,KO,Sfrs18,24.17,23.975,14.675,14.285,0.27375,0.827166693,-1.208946163,,,6.45,6.49,-0.3225,1.250495616,-0.799682931
5_3,KO,Sfrs18,23.78,,,,,,,,,,,,,
6_3,KO,Sfrs18,23.72,23.935,15.175,,,,,,,6.46,,,,
6_3,KO,Sfrs18,24.15,,,,,,,,,,,,,
7_5,KO,Sfrs18,24.12,24.2,15.885,,,,,,,6.275,,,,
7_5,KO,Sfrs18,24.28,,,,,,,,,,,,,
7_7,KO,Sfrs18,24.25,24.465,11.405,,,,,,,6.775,,,,
7_7,KO,Sfrs18,24.68,,,,,,,,,,,,,
5_1,WT,Sfrs18,24.64,24.725,11.745,14.01125,,,,,,6.985,6.8125,,,
